Entry,Accession,Biomass.Yield.dry.weight.2016,Biomass.Yield.dry.weight.2017,Biomass.Yield.dry.weight.2018
JY183,JY183,109,301,428.04
KMS407,KMS407,52,188,505.27
JY240,JY240,14,52,113.34
UI11-00038,UI11-00038,42,111,215.66
RU2012-135,RU2012-135,13,48,108.68
JM2014-H-29,JM2014-H-29,52,185,189.99
JY224,JY224,23,54,129.3
JY110,JY110,68,229,NA
RU2012-112,RU2012-112,18,72,130.49
JY286,JY286,18,66,86.36
RU2012-147,RU2012-147,24,98,128.7
KMS451,KMS451,58,198,856.15
JY052,JY052,44,139,95.82
JY180,JY180,42,157,373.39
RU2012-185,RU2012-185,99,301,352.55
RU2012-025,RU2012-025,9,68,4.36
JM2014-H-4,JM2014-H-4,12,67,135.11
KMS268,KMS268,39,115,424.15
KMS394,KMS394,54,187,504.24
JY101,JY101,118,389,347.52
KMS324,KMS324,52,144,343.92
JY038,JY038,48,178,98.85
JPN-2011-023,JPN-2011-023,19,68,262.14
JM2014-K-15,JM2014-K-15,119,398,127.1
M. sacchariflorus 'Golf Course 2x'-UI11-00006,UI11-00006,22,50,220.14
JPN-2011-001,JPN-2011-001,47,162,216.23
JY248,JY248,18,48,254.31
KMS343,KMS343,26,75,86.47
RU2012-099,RU2012-099,24,89,134.72
JM2014-K-11,JM2014-K-11,114,375,274.33
JY262,JY262,47,168,160.5
KMS348,KMS348,45,125,384.91
RU2012-116,RU2012-116,NA,NA,NA
KMS265,KMS265,15,49,185.95
JM2014-S-1,JM2014-S-1,52,178,131.01
JY053,JY053,11,45,32.99
JY290,JY290,9,40,134.67
KMS361,KMS361,61,168,541.47
JY161,JY161,18,89,167.3
JY173,JY173,95,328,938.27
JY269,JY269,18,72,238.22
KMS400,KMS400,42,115,291.11
JM2014-H-30,JM2014-H-30,9,45,54.08
JPN-2011-018,JPN-2011-018,47,171,462.05
KMS300,KMS300,53,186,222.69
JY182,JY182,22,88,103.81
JY070,JY070,8,35,26.06
KMS401,KMS401,107,298,412.35
RU2012-106,RU2012-106,16,46,271.66
JPN-2010-004,JPN-2010-004,18,68,165.67
JM2014-M-12,JM2014-M-12,41,145,563.67
JPN-2010-001,JPN-2010-001,48,138,423.17
RU2012-177,RU2012-177,54,185,257.69
RU2012-047,RU2012-047,9,41,23
RU2012-201,RU2012-201,16,69,227.99
JM2014-H-51,JM2014-H-51,54,185,169.09
JY192,JY192,23,78,130.37
JPN-2010-014,JPN-2010-014,51,179,82.24
UI11-00037,UI11-00037,19,55,171.01
JY082,JY082,66,231,118.34
RU2012-136,RU2012-136,8,51,89.41
JM2014-H-12,JM2014-H-12,20,58,98.41
JY244,JY244,24,112,69.44
KMS352,KMS352,115,385,294.33
JY055,JY055,58,162,320.35
JY211,JY211,26,68,204.41
KMS375,KMS375,14,62,59.25
RU2012-096,RU2012-096,14,71,72.32
JM2014-S-6,JM2014-S-6,117,379,817.15
JPN-2010-002,JPN-2010-002,125,361,97.48
JY140,JY140,98,336,483.47
RU2012-214,RU2012-214,55,185,254.54
JM2014-H-71,JM2014-H-71,102,289,503
KMS459,KMS459,16,59,416.43
KMS350,KMS350,44,157,491.36
JPN-2010-015,JPN-2010-015,124,388,270.16
JY087,JY087,131,365,160.94
JY090,JY090,52,178,275.39
KMS435,KMS435,108,299,1152.03
RU2012-092,RU2012-092,19,68,119.1
JY217,JY217,45,158,218.33
KMS446,KMS446,128,402,682.39
PMS-074,PMS-074,18,85,37.46
KMS412,KMS412,111,311,851.71
JM2014-K-10,JM2014-K-10,41,142,179.82
JY164,JY164,24,69,86.2
JY027,JY027,11,59,23.75
JM2014-H-72,JM2014-H-72,28,92,174.41
KMS402,KMS402,29,88,159.59
JY229,JY229,48,168,198.44
M. sacchariflorus 'EMI-5'-UI11-00027,UI11-00027,61,179,292.83
UI11-00034,UI11-00034,68,225,258.83
JY278,JY278,58,168,174.82
JY073,JY073,15,58,88.16
JPN-2011-003,JPN-2011-003,136,441,265.31
KMS384,KMS384,52,177,233.53
JY111,JY111,NA,NA,NA
JM2014-K-6,JM2014-K-6,22,62,676
RU2012-118,RU2012-118,25,65,216.25
KMS466,KMS466,68,235,465.17
KMS256,KMS256,61,211,364.44
RU2012-120,RU2012-120,25,85,149.06
RU2012-102,RU2012-102,21,60,338.76
RU2012-104,RU2012-104,19,71,161.74
JY210,JY210,86,278,237.77
KMS423,KMS423,53,168,200.13
KMS354,KMS354,128,401,328.67
JM2014-H-6,JM2014-H-6,24,60,90.34
JM11-002,JM11-002,59,191,562.92
JY046,JY046,145,399,352.53
JY239,JY239,15,47,92.25
JY160,JY160,9,31,84.68
JMMiyakonojo (FSC),JMMiyakonojo (FSC),22,55,253.41
RU2012-195,RU2012-195,54,157,178.72
KMS374,KMS374,113,358,456.4
RU2012-175,RU2012-175,10,29,18.8
KMS442,KMS442,125,368,384.96
JY189,JY189,54,187,188.54
JY209,JY209,26,60,96.69
KMS358,KMS358,14,58,95.34
JY092,JY092,42,156,130.73
KMS417,KMS417,112,362,719.63
JY080,JY080,130,412,273.41
JY235,JY235,19,59,258.07
M. ×giganteus 'Illinois'-UI10-00107,UI10-00107,84,235,1553.02
M. sacchariflorus 'Golf Course 4x'-UI11-00007,UI11-00007,16,53,405.82
JY062,JY062,NA,NA,NA
RU2012-060,RU2012-060,NA,NA,11.14
RU2012-182,RU2012-182,17,53,150.06
JM2014-M-13,JM2014-M-13,26,85,127.48
JY234,JY234,18,48,132.25
JY237,JY237,12,38,117
JM2014-H-64,JM2014-H-64,11,51,49.17
RU2012-159,RU2012-159,14,68,79.2
JPN-2010-012,JPN-2010-012,65,175,131.23
JM2014-H-70,JM2014-H-70,18,55,131.96
KMS395,KMS395,22,89,107.8
KMS370,KMS370,26,68,94.78
RU2012-167,RU2012-167,17,67,145.5
JY271,JY271,23,85,145.31
KMS345,KMS345,58,197,126.82
KMS373,KMS373,42,113,172.64
JY019,JY019,15,58,47.55
RU2012-048,RU2012-048,14,49,11.48
JM2014-H-43,JM2014-H-43,9,45,119
JM2014-H-28,JM2014-H-28,115,368,199.61
JMKikuchi 1(N24),JMKikuchi 1(N24),63,195,220.77
KMS362,KMS362,42,109,103.55
JM2014-H-55,JM2014-H-55,52,148,338.74
JPN-2011-008,JPN-2011-008,41,145,419.48
RU2012-209,RU2012-209,17,78,247.02
JPN-2010-003,JPN-2010-003,58,201,397.54
JY174,JY174,113,365,570.04
JY126,JY126,NA,NA,NA
JY217,JY217,NA,NA,NA
JM2014-H-54,JM2014-H-54,NA,NA,NA
JM2014-K-13,JM2014-K-13,NA,NA,NA
RU2012-163,RU2012-163,NA,NA,NA
JY006,JY006,NA,NA,NA
JMShira(N24),JMShira(N24),NA,NA,NA
JM11-006,JM11-006,NA,NA,NA
JY269,JY269,NA,NA,NA
JMKamisho(N24),JMKamisho(N24),NA,NA,NA
M. sacchariflorus 'EMI-5'-UI11-00027,UI11-00027,NA,NA,NA
KMS326,KMS326,NA,NA,NA
JY073,JY073,NA,NA,NA
KMS444,KMS444,NA,NA,NA
KMS451,KMS451,NA,NA,NA
KMS275,KMS275,NA,NA,NA
JPN-2010-013,JPN-2010-013,NA,NA,NA
KMS264,KMS264,NA,NA,NA
JM2014-H-4,JM2014-H-4,NA,NA,NA
JY203,JY203,NA,NA,NA
RU2012-120,RU2012-120,NA,NA,NA
KMS347,KMS347,NA,NA,NA
JY164,JY164,NA,NA,NA
JPN-2010-009,JPN-2010-009,NA,NA,NA
JY038,JY038,NA,NA,NA
JY087,JY087,NA,NA,NA
RU2012-190,RU2012-190,NA,NA,NA
KMS447,KMS447,NA,NA,NA
KMS330,KMS330,NA,NA,NA
KMS329,KMS329,NA,NA,NA
JY285,JY285,NA,NA,NA
KMS427,KMS427,NA,NA,NA
JY231,JY231,NA,NA,NA
JY301,JY301,NA,NA,NA
JY072,JY072,NA,NA,NA
JPN-2011-001,JPN-2011-001,NA,NA,NA
JY093,JY093,NA,NA,NA
KMS459,KMS459,NA,NA,NA
RU2012-042,RU2012-042,NA,NA,NA
JY146,JY146,NA,NA,NA
JM2014-H-76,JM2014-H-76,NA,NA,NA
JY096,JY096,NA,NA,NA
RU2012-125,RU2012-125,NA,NA,NA
JPN-2010-005,JPN-2010-005,NA,NA,NA
KMS309,KMS309,NA,NA,NA
JY237,JY237,NA,NA,NA
RU2012-031,RU2012-031,NA,NA,NA
JM11-019,JM11-019,NA,NA,NA
JM2014-H-18,JM2014-H-18,NA,NA,NA
RU2012-052,RU2012-052,NA,NA,NA
JPN-2010-012,JPN-2010-012,NA,NA,NA
JY136,JY136,NA,NA,NA
JY294,JY294,NA,NA,NA
JY216,JY216,NA,NA,NA
KMS384,KMS384,NA,NA,NA
JY025,JY025,NA,NA,NA
JY267,JY267,NA,NA,NA
JY068,JY068,NA,NA,NA
RU2012-084,RU2012-084,NA,NA,NA
KMS422,KMS422,NA,NA,NA
KMS450,KMS450,NA,NA,NA
JY262,JY262,NA,NA,NA
JM2014-K-2,JM2014-K-2,NA,NA,NA
JY292,JY292,NA,NA,NA
RU2012-030,RU2012-030,NA,NA,NA
